label,max_temp,min_temp,max_wind_speed,min_wind_speed,precipitation_sum,par_total,root_zone_soil_wetness,surface_soil_wetness,humidity,earth_skin_temp
Leaf-folder Injury,38.939,6.0881,5.2174,0.0449,193.293,6.7892,0.4542,0.394,9.5649,24.3279
Healthy,37.5686,11.579,6.1507,0.0509,154.5397,7.7973,0.5153,0.4936,12.8791,24.9092
Healthy,43.5076,7.3723,7.7897,0.0495,35.594,7.4099,0.4439,0.3744,7.0392,22.9179
Stripes,40.8422,5.4513,7.7221,0.0216,139.6519,7.6153,0.4142,0.3645,7.3452,22.4493
Tungro,37.9729,8.0381,1.0501,0.0085,165.378,7.6303,0.4789,0.4623,10.2909,21.7218
Stripes,41.1364,6.1198,7.1134,0.0223,102.1453,7.2904,0.4312,0.3952,7.9049,22.5152
Scald,40.7151,6.4966,5.1475,0.0527,155.8299,7.4198,0.4604,0.4144,8.7551,24.031
Insect Infestation,38.2942,8.2738,3.7093,0.0648,277.9141,7.8559,0.506,0.4939,10.4274,23.325
Stripes,37.9429,7.4618,4.5545,0.056,351.8951,8.1151,0.5035,0.4704,9.6342,22.0202
Healthy,43.6648,7.4578,7.954,0.0511,39.2937,7.4359,0.4404,0.3742,7.1201,22.9841
Stripes,37.3508,8.113,4.4834,0.0107,451.1021,7.4646,0.5856,0.5914,11.4081,21.7667
Blast,44.0109,7.199,7.2433,0.0458,94.7695,7.9028,0.4924,0.3655,10.2327,25.749
Scald,37.2126,10.3376,6.192,0.071,147.7264,7.6904,0.5898,0.5804,12.8584,23.3021
Blast,36.6401,10.2113,6.1636,0.0913,167.5721,9.0185,0.4767,0.439,12.1543,24.1321
Scald,42.6231,6.9039,5.2877,0.0178,70.2035,7.1735,0.4873,0.4487,9.0396,23.1774
Tungro,43.0719,5.1333,5.1694,0.0931,159.859,8.5496,0.473,0.4201,8.1927,23.2604
Insect Infestation,40.9544,5.5604,7.687,0.0183,132.722,7.5958,0.4149,0.3628,7.2824,22.3272
Blast,41.9662,6.5525,5.0174,0.0779,32.9479,6.9825,0.4958,0.4417,8.3206,23.8658
Tungro,43.7076,7.4306,8.0243,0.0541,32.2504,7.4144,0.4396,0.3742,7.1301,23.0665
Stripes,43.4269,6.4334,6.5489,0.0968,59.1098,7.2935,0.4589,0.3955,7.8221,24.1899
Leaf-folder Injury,32.3133,7.8746,4.8196,0.0718,1331.1882,7.3493,0.6649,0.6946,12.5766,21.6272
Insect Infestation,40.8843,5.3636,7.5869,0.0214,133.5233,7.6003,0.4196,0.3637,7.2713,22.3807
Stripes,40.0219,6.2217,6.8874,0.0579,291.9037,7.0064,0.4673,0.4453,9.1553,22.8003
Blast,38.0071,7.278,1.0578,0.0121,178.9059,7.7722,0.475,0.4677,10.3288,21.7463
Stripes,40.415,6.0059,7.1253,0.0173,98.5696,7.2835,0.4285,0.3893,7.9249,22.4359
Blast,43.7654,7.2991,9.4208,0.0399,104.1874,6.9141,0.3953,0.3477,7.246,24.7864
Tungro,40.9444,5.581,7.5666,0.0179,117.2937,7.5643,0.4174,0.3668,7.2047,22.3299
Blast,44.1606,6.4188,6.3945,0.1015,62.4806,7.3511,0.4645,0.3958,7.8371,24.1884
Stripes,38.4991,8.1375,5.1114,0.0577,445.3864,7.6534,0.5184,0.5024,10.9702,23.0053
Healthy,43.6806,7.1882,9.006,0.04,106.0589,6.9829,0.4039,0.3378,7.1738,24.7072
Insect Infestation,44.8992,6.5075,8.0327,0.0427,123.0248,6.7621,0.4647,0.4412,7.8914,21.9795
Tungro,36.3421,11.3034,5.8409,0.0567,438.1887,8.0055,0.5441,0.5277,12.3779,23.4939
Blast,37.8932,7.4232,3.8288,0.0209,365.0852,7.5647,0.5447,0.5487,11.0061,22.0924
Healthy,39.2306,6.8625,3.6203,0.0075,224.0003,7.7694,0.5359,0.525,10.948,22.0954
Stripes,39.0419,7.1372,1.6583,0.0132,65.6431,8.0667,0.4698,0.4518,9.6905,21.4012
Healthy,37.1845,8.0398,1.6621,0,108.0892,7.9017,0.4075,0.3412,9.6733,22.1614
Tungro,41.1192,5.5549,7.7101,0.0202,129.7218,7.5856,0.4207,0.3659,7.2752,22.3994
Scald,42.5917,6.6717,7.5737,0.0089,64.3956,7.4436,0.4045,0.3441,7.4121,23.475
Leaf-folder Injury,41.6962,6.0873,6.6153,0.0422,78.8818,7.6371,0.3601,0.2622,5.8205,22.832
Blast,41.996,7.0729,6.0854,0.0146,164.2637,7.0384,0.4593,0.4294,8.3705,22.6776
Insect Infestation,38.337,6.5201,5.6495,0.0138,221.6598,7.4823,0.4461,0.429,8.1363,22.2903
Blast,36.5215,6.6559,3.7665,0.081,367.7095,7.7381,0.5523,0.5484,10.9779,21.4616
Blast,40.9769,5.5046,7.7204,0.0239,128.7627,7.5803,0.4152,0.3741,7.2795,22.3282
Stripes,39.9661,10.0426,0.7254,0.0056,55.5777,8.377,0.43,0.4048,9.4081,22.4962
Healthy,46.41,6.3092,6.4392,0.0382,150.621,6.5515,0.5315,0.4999,8.7599,22.9241
Tungro,38.8544,9.804,6.956,0.0184,155.1567,7.0705,0.6031,0.5944,13.2136,23.5881
Leaf-folder Injury,40.3109,5.8773,7.6062,0.006,79.4635,7.2002,0.4157,0.3724,7.9921,22.7401
Blast,41.6748,6.0821,6.5727,0.0452,80.8114,7.5905,0.3618,0.2657,5.8083,22.8156
Stripes,40.8983,5.6307,7.7894,0.0197,118.4127,7.6498,0.4209,0.3701,7.3142,22.3178
Blast,43.908,8.6579,6.4004,0.0417,124.1646,7.1321,0.5115,0.403,10.8809,27.0922
Healthy,43.1746,1.2109,8.4995,0.0054,111.1951,7.6351,0.3976,0.3256,6.5915,23.2866
Leaf-folder Injury,41.1932,5.6239,7.4873,0.024,123.1122,7.5899,0.4185,0.3729,7.2696,22.3681
Tungro,44.4274,7.2958,5.0836,0.0574,128.8931,6.9704,0.4599,0.4129,8.4745,24.2886
Healthy,44.7459,6.5013,8.2528,0.0412,128.3057,6.7759,0.4671,0.4373,7.8796,21.9945
Stripes,38.0285,8.71,1.4622,0.0094,102.1306,8.2678,0.4132,0.3702,9.0138,22.5818
Blast,37.6996,10.5592,7.5053,0.046,166.5088,6.7889,0.4995,0.4601,13.846,25.1457
Healthy,41.6395,6.1425,6.5319,0.0392,80.4683,7.581,0.3511,0.2612,5.6978,22.9006
Blast,45.0551,6.5428,6.0006,0.0287,132.3426,6.7569,0.4513,0.3889,8.9379,25.4078
Insect Infestation,36.0884,11.3534,6.4891,0.0815,137.5932,8.1869,0.4571,0.4066,12.7834,24.8225
Leaf-folder Injury,42.8183,7.6576,4.3774,0.0402,236.8279,7.0443,0.5498,0.4604,10.5175,25.0575
Leaf-folder Injury,41.1294,5.7025,7.8803,0.0202,123.434,7.5681,0.4183,0.3675,7.2234,22.3521
Blast,36.6945,10.3453,8.1734,0.0893,89.1116,7.6378,0.4785,0.4401,12.4761,24.1234
Stripes,40.4057,7.7174,8.0339,0.0196,105.5247,7.0893,0.445,0.4105,7.7034,22.7716
Scald,41.9865,7.3525,4.7555,0.0176,52.051,8.1764,0.5059,0.3597,9.53,26.334
Insect Infestation,37.0459,7.2982,3.4824,0.0519,417.586,7.9563,0.5154,0.4861,10.0315,22.505
Tungro,41.0739,7.1485,4.8779,0.0182,412.0212,7.5484,0.6567,0.6249,10.9938,22.3902
Tungro,38.0181,10.4972,0.9654,0.0064,139.2736,8.3296,0.4404,0.416,9.9942,22.5396
Leaf-folder Injury,36.6295,7.3783,4.3738,0.0623,729.1987,7.0504,0.5734,0.5729,12.7805,23.2233
Stripes,42.7327,6.7772,7.432,0.014,61.5268,7.4273,0.4088,0.3416,7.5161,23.3801
Healthy,42.7403,6.5296,7.3716,0.0136,65.5303,7.4648,0.4057,0.3464,7.3502,23.3846
Scald,43.5974,5.0407,5.3941,0.089,160.9735,8.6397,0.4688,0.4185,8.1677,23.1655
Scald,41.4767,5.5722,6.3334,0.0563,101.4311,8.0028,0.5302,0.4405,10.268,25.0047
Leaf-folder Injury,39.3041,9.8226,6.558,0.0184,140.6539,7.0682,0.6078,0.6021,13.2214,23.6892
Scald,38.5983,7.2162,4.143,0.0395,466.4174,7.5879,0.4813,0.4701,9.8692,22.1284
Blast,40.9235,5.6794,7.8074,0.0188,138.0522,7.6254,0.4186,0.3645,7.3821,22.4106
Scald,36.6613,11.0209,6.1185,0.1006,231.6888,7.6838,0.4652,0.4324,11.9856,24.7739
Stripes,41.7261,6.0853,6.7144,0.0366,83.3358,7.6187,0.3565,0.2622,5.8072,23.0353
Blast,39.8494,6.2661,7.2677,0.0126,77.3819,7.2307,0.4165,0.3727,7.9244,22.678
Blast,41.9982,7.1708,5.9428,0.0212,166.9613,7.0277,0.4609,0.4403,8.6872,22.5992
Blast,42.003,8.7863,6.0269,0.0452,115.4835,8.0126,0.494,0.3776,9.2478,25.2698
Leaf-folder Injury,47.1479,7.8221,5.1925,0.0249,160.6216,6.9164,0.5793,0.52,10.6078,24.6595
Scald,36.5061,7.4635,4.7767,0.0588,744.39,7.0572,0.5719,0.5679,12.5157,23.3137
Tungro,33.4686,9.1269,1.1659,0.0202,745.478,7.9024,0.562,0.5948,11.8019,21.2886
Blast,42.5259,8.3755,5.5495,0.0514,71.6548,7.5919,0.439,0.3583,7.7375,24.8508
Tungro,46.3128,6.4017,6.6259,0.0368,147.9327,6.5372,0.5291,0.497,8.6068,22.9035
Healthy,41.0732,5.5246,7.5751,0.0195,132.6821,7.5595,0.4155,0.3688,7.1982,22.3606
Tungro,41.7852,6.302,5.6202,0.0104,147.1715,8.0148,0.5016,0.4053,10.1111,25.2496
Leaf-folder Injury,42.2512,7.2122,5.0113,0.0214,67.9714,8.1296,0.5041,0.3587,9.7023,26.3015
Blast,36.9424,8.4263,0.8362,0.0022,82.6641,7.9288,0.4048,0.3298,9.5445,22.1563
Scald,38.7215,7.9013,3.8958,0.0313,401.5686,7.5818,0.4586,0.445,9.777,22.8093
Scald,41.4026,6.5204,6.2462,0.018,164.3203,8.6974,0.4408,0.3982,7.1333,21.5134
Insect Infestation,43.8501,6.8241,9.1075,0.0422,104.8656,6.9182,0.3936,0.3371,7.2028,24.6761
Leaf-folder Injury,40.841,5.6481,7.7876,0.0204,120.0834,7.5903,0.4159,0.3768,7.4182,22.4194
Leaf-folder Injury,39.6378,7.9637,7.4185,0.0484,153.1829,7.5351,0.4114,0.3712,8.1553,23.0797
Healthy,41.5667,9.7526,4.3297,0.0087,171.9264,8.0402,0.4893,0.4632,9.8431,23.5576
Leaf-folder Injury,37.0729,8.9869,4.5574,0.0417,522.4316,7.521,0.519,0.5287,11.0445,23.1061
Tungro,38.4776,10.6098,6.6493,0.092,52.8474,7.6951,0.5355,0.5068,12.7561,24.4357
Scald,44.7599,5.366,5.7349,0.0375,57.5632,7.4749,0.4436,0.3667,6.7621,23.4946
Healthy,43.5592,7.4772,8.0249,0.046,34.2359,7.4567,0.4373,0.3779,7.1772,22.9666
Blast,40.9955,5.5586,7.7494,0.0217,133.9792,7.6077,0.416,0.364,7.1013,22.4244
Healthy,36.1829,5.7584,1.1502,0.0054,351.9216,7.8964,0.516,0.5507,11.1146,21.1066
Healthy,44.3703,6.335,8.218,0.04,131.065,6.7256,0.4663,0.4369,7.874,22.1354
Healthy,40.9177,5.777,7.9458,0.0223,116.364,7.5605,0.4208,0.3699,7.4854,22.3543
Tungro,36.3112,8.4823,1.2328,0.015,392.626,7.7631,0.5316,0.5535,10.5777,20.8671
Tungro,38.2442,8.8518,1.2958,0.0059,99.5116,8.2641,0.4207,0.3816,9.4918,22.0514
Leaf-folder Injury,35.7993,11.1519,6.0803,0.0379,126.1752,8.1554,0.5103,0.4773,11.8249,24.0767
Scald,40.1318,6.1259,7.1719,0.0208,105.1904,7.2348,0.4272,0.3911,7.8959,22.2693
Insect Infestation,43.0889,1.9972,8.5351,0.0099,105.9508,7.6376,0.3945,0.3255,6.4674,23.0664
Healthy,38.8276,5.6563,4.6323,0.0387,282.2074,7.6458,0.6057,0.5743,10.751,23.0688
Stripes,42.8141,6.6954,7.8311,0.0115,65.7331,7.4424,0.402,0.3465,7.4101,23.3733
Stripes,43.5967,7.508,8.9555,0.0398,97.4304,6.9671,0.3956,0.3319,7.2272,24.8822
Blast,36.5258,10.9654,5.742,0.0522,385.1236,8.0284,0.5404,0.5386,12.6965,23.1677
Insect Infestation,37.4729,6.5509,6.6254,0.0402,328.1434,7.0689,0.5178,0.5242,9.3804,20.9389
Scald,40.6053,6.2695,7.1967,0.0214,103.2421,7.3107,0.4263,0.3899,7.8912,22.1664
Blast,39.6014,6.0119,5.1232,0.0519,534.0851,7.4614,0.5287,0.5145,10.9836,22.2298
Stripes,41.1389,5.5448,7.6938,0.0216,119.003,7.6043,0.4151,0.3665,7.314,22.2843
Insect Infestation,43.8272,7.641,9.0433,0.0411,102.0162,6.9304,0.4069,0.3394,7.37,24.6805
Insect Infestation,38.5997,8.012,3.8694,0.0273,443.8158,7.5338,0.4576,0.4287,9.71,22.5906
Stripes,40.7006,5.7918,6.1752,0.0534,98.8802,7.9858,0.53,0.4537,10.1462,24.867
Scald,37.2836,7.4372,3.7767,0.0177,399.3585,7.5171,0.5559,0.546,11.0978,22.1695
Leaf-folder Injury,40.9676,5.6633,7.7506,0.0211,126.8782,7.6123,0.4114,0.3731,7.4012,22.3688
Scald,40.6985,6.4381,7.1077,0.018,105.0678,7.3167,0.4248,0.4011,7.9028,22.2885
Insect Infestation,38.7979,8.1479,5.6288,0.0109,220.7763,7.7307,0.5139,0.4472,10.4447,24.6264
Tungro,41.0371,5.7941,7.7347,0.0222,118.7566,7.63,0.4183,0.3682,7.3594,22.432
Scald,35.4898,9.6622,1.3003,0.0236,234.7639,8.0492,0.4434,0.4286,9.381,21.1344
Tungro,40.7762,5.7008,7.6479,0.0189,132.1029,7.5647,0.4181,0.3614,7.3816,22.4763
Leaf-folder Injury,44.668,7.1635,6.4688,0.156,77.8936,7.8948,0.4935,0.3479,10.1534,26.0488
Blast,43.4665,2.3457,6.6796,0.0208,85.9131,7.4561,0.4325,0.3533,7.1632,23.793
Scald,42.6013,6.5692,7.3178,0.0096,65.4982,7.4267,0.4058,0.339,7.5198,23.4035
Leaf-folder Injury,38.1456,7.7515,4.8099,0.0578,365.0274,8.1768,0.4871,0.4676,9.7267,22.0402
Tungro,37.9799,7.4811,1.2205,0.0085,76.2614,8.2388,0.4785,0.4634,9.8177,22.2129
Blast,33.9483,6.3184,4.0301,0.035,600.7942,7.3526,0.6805,0.7118,12.2639,21.3226
Stripes,37.4341,7.4211,3.7876,0.0209,391.8146,7.5694,0.5548,0.5598,11.0307,22.0594
Scald,41.2196,5.5945,7.8741,0.0164,119.7189,7.5794,0.4147,0.373,7.322,22.4768
Blast,39.5804,7.9919,9.6741,0.015,96.9236,7.3632,0.4413,0.4148,9.0425,23.4156
Scald,41.0456,10.2753,7.3503,0.0781,86.826,7.5487,0.4086,0.3635,7.6326,23.3436
Healthy,44.8297,5.3302,5.4673,0.0383,50.4309,7.4736,0.4484,0.3643,6.7767,23.4876
Tungro,41.0434,9.8093,7.2699,0.0744,85.5982,7.551,0.4132,0.3655,7.6556,23.3498
Stripes,43.108,1.7614,8.2811,0.0112,108.0202,7.6039,0.3987,0.3204,6.479,23.1235
Stripes,44.7115,5.1723,5.654,0.0431,51.261,7.4382,0.4503,0.3645,6.781,23.3257
Stripes,44.8235,7.4,5.6031,0.1332,36.47,8.035,0.5143,0.4031,9.2476,25.6649
Blast,34.5787,8.6931,5.5342,0.0411,289.9189,7.5481,0.5975,0.5909,13.0397,23.1843
Tungro,38.9354,7.2116,3.9176,0.0147,270.4819,7.866,0.5734,0.5659,10.9549,22.2039
Scald,43.7515,7.2272,9.1487,0.0398,100.9034,6.9432,0.3939,0.3366,7.2397,24.7885
Blast,43.1356,7.594,6.3864,0.0667,67.6587,8.1603,0.4996,0.3704,8.604,25.0639
Insect Infestation,38.5134,7.335,7.4319,0.0125,271.7281,6.7035,0.5457,0.5413,10.3331,21.6209
Healthy,44.914,7.5741,5.5721,0.1243,44.9763,7.9541,0.5141,0.3891,9.2465,25.2784
Scald,40.9707,5.6512,7.6369,0.0214,124.6016,7.5776,0.4211,0.3736,7.2379,22.4172
Tungro,39.6384,5.7831,4.8243,0.0528,429.0166,7.4708,0.5182,0.519,11.1336,22.2544
Tungro,42.5135,8.0337,5.4256,0.0598,74.0822,7.4972,0.4377,0.3555,7.7176,25.0127
Insect Infestation,43.8032,7.3092,7.0347,0.0415,89.0833,7.8945,0.4971,0.3584,10.1565,25.779
Tungro,38.0942,8.3673,5.1777,0.0544,470.1369,7.7057,0.4997,0.4946,11.1448,23.0501
Leaf-folder Injury,43.6116,7.5483,7.682,0.0518,39.3569,7.4587,0.4365,0.3738,7.0026,23.0159
Scald,40.9591,5.5734,7.6568,0.0227,127.9663,7.6179,0.4181,0.3659,7.2978,22.2806
Insect Infestation,44.5229,7.4235,6.3314,0.1561,67.2539,7.901,0.5003,0.3499,10.1337,26.236
Leaf-folder Injury,36.2242,7.6233,0.7577,0.0082,191.4429,7.416,0.4647,0.4657,11.8341,22.5853
Blast,41.6512,5.6385,6.3837,0.0407,82.6965,7.6027,0.3583,0.2622,5.8352,22.8188
Tungro,34.1333,8.7839,5.7394,0.0389,368.4537,7.5614,0.6069,0.5902,13.1693,23.2053
Insect Infestation,40.7108,4.0466,4.3243,0.0779,174.5997,7.9107,0.4752,0.4479,10.0426,23.0119
Leaf-folder Injury,39.2285,7.591,5.6717,0.0055,221.8201,7.8553,0.5148,0.4435,10.0188,25.2975
Blast,36.8689,7.9687,4.761,0.0076,470.2672,7.5091,0.5812,0.5865,11.3753,21.932
Blast,42.72,8.17,5.47,0.06,70.57,7.4875,0.4375,0.355,7.725,24.9025
Blast,43.7687,7.4263,8.2192,0.0498,38.8994,7.4089,0.4425,0.3756,7.2149,22.9975
Healthy,37.7166,7.3278,3.7405,0.0176,341.6772,7.5439,0.5549,0.5384,10.9014,22.2087
Tungro,38.2115,8.159,5.3063,0.0268,387.0564,7.5994,0.5868,0.5994,10.8858,21.6204
Leaf-folder Injury,42.8495,7.3853,6.1484,0.0704,64.0666,8.3145,0.4997,0.3714,9.0512,24.8896
Leaf-folder Injury,46.2302,6.2996,6.9076,0.046,153.8606,6.4307,0.5252,0.4991,9.0149,22.9917
Blast,38.2381,7.2358,3.7566,0.0229,266.7561,7.8858,0.5674,0.5761,10.7587,22.3446
Healthy,40.8653,5.6951,7.8437,0.0181,134.4753,7.578,0.4186,0.3667,7.2502,22.3425
Insect Infestation,44.6669,5.532,5.6664,0.0382,60.8072,7.4437,0.4458,0.3695,6.7274,23.3819
Tungro,40.7692,5.5464,7.5568,0.0197,126.9182,7.6106,0.4202,0.3729,7.2673,22.3037
Blast,35.1863,9.9662,1.3098,0.0085,263.4961,7.841,0.4524,0.4442,10.2624,22.2568
Stripes,39.8516,5.5282,5.7048,0.1291,289.585,7.6495,0.5468,0.5129,11.2408,24.394
Stripes,37.5811,8.0445,4.3675,0.0256,445.0886,7.5706,0.5866,0.612,10.9681,21.5031
Tungro,37.5137,10.7616,4.7914,0.0121,207.4545,7.1873,0.5405,0.5243,12.9388,24.1153
Scald,36.3849,8.0088,1.7148,0.0092,120.9459,8.0959,0.4683,0.459,10.0722,21.7031
Blast,40.9285,5.6693,7.8009,0.0201,134.823,7.5651,0.4139,0.3713,7.3275,22.4366
Scald,42.0863,6.6332,6.2038,0.0808,100.778,7.5752,0.4381,0.3744,8.1534,24.4522
Blast,38.7721,8.1528,3.8702,0.0565,287.0233,7.9732,0.513,0.4793,10.6589,23.0592
Scald,43.5195,6.4665,6.505,0.0948,58.4612,7.3392,0.4602,0.3973,7.8422,24.0645
Blast,35.417,11.133,5.7024,0.0302,137.0552,8.2235,0.5011,0.4634,12.217,23.9234
Insect Infestation,43.719,7.5061,9.1142,0.0414,99.3858,6.9287,0.3983,0.3406,7.2893,24.6781
Leaf-folder Injury,32.6871,8.249,4.8,0.0673,1377.7679,7.4031,0.6901,0.6881,12.5333,21.6934
Stripes,38.5223,7.8483,3.9627,0.0265,432.0883,7.6247,0.4497,0.4376,9.9743,22.8531
Scald,37.419,5.181,4.8053,0.0782,270.299,7.1216,0.5559,0.5714,9.9967,21.7607
Stripes,39.5604,9.7605,6.7329,0.0345,59.2232,8.2727,0.4469,0.3945,11.4684,24.4027
Insect Infestation,43.7893,7.0743,9.0007,0.0388,103.1081,6.8768,0.3991,0.347,7.3126,24.6904
Stripes,37.0679,8.224,4.5168,0.0142,461.5404,7.4586,0.5863,0.6,11.5409,21.9124
Blast,37.3833,7.559,1.4847,0.009,64.6461,8.3758,0.4077,0.3565,9.1023,22.274
Scald,40.6172,7.7273,7.9146,0.0215,105.1302,7.0847,0.4413,0.4127,7.7194,22.6641
Leaf-folder Injury,39.9754,9.8003,5.4063,0.0093,71.5192,7.8983,0.5214,0.4916,12.2912,23.6813
Healthy,37.9861,9.7371,1.7384,0.0126,215.1671,8.1333,0.4727,0.4616,10.1783,21.7949
Scald,46.1686,6.1373,6.6051,0.0415,150.718,6.6366,0.531,0.5002,8.6826,22.7842
Scald,38.6789,10.4455,1.0505,0.0098,123.7879,8.2852,0.4467,0.4095,9.8513,22.8035
Stripes,37.2708,9.249,1.1446,0.001,225.3175,7.989,0.4778,0.4609,9.9708,22.0294
Insect Infestation,43.2579,1.7398,6.741,0.02,80.0106,7.451,0.4301,0.3494,6.9911,23.9135
Blast,41.3251,7.5987,5.7967,0.1349,152.6624,7.7509,0.5034,0.3784,9.5037,25.6512
Insect Infestation,40.7585,7.6823,7.905,0.0253,102.8368,7.035,0.4413,0.4135,7.7141,22.4263
Leaf-folder Injury,44.6806,5.3849,5.5532,0.0351,55.9288,7.4936,0.4437,0.374,6.7998,23.3193
Tungro,42.3442,6.8615,6.0501,0.024,88.5769,7.5132,0.5051,0.4774,9.1179,23.7775
Leaf-folder Injury,41.2246,7.7133,5.7604,0.1407,152.6042,7.9008,0.505,0.3813,9.6918,25.7004
Blast,42.5416,8.2722,5.3878,0.0674,72.1189,7.5417,0.4421,0.3535,7.7364,24.9702
Blast,41.6546,6.366,6.4037,0.0414,78.3266,7.6071,0.3627,0.2671,5.9003,22.9519
Blast,41.171,5.5808,7.6998,0.0199,126.0112,7.5975,0.4113,0.3623,7.3229,22.3653
Blast,43.5335,7.2381,8.1596,0.0515,42.8869,7.4438,0.445,0.3742,7.064,22.9972
Tungro,31.7888,8.2058,4.7202,0.0636,1333.1286,7.3661,0.681,0.6927,12.4474,21.7172
Insect Infestation,43.5886,7.2,8.2846,0.0497,37.8295,7.4414,0.439,0.3767,7.1315,22.9741
Scald,36.6557,9.8191,6.3151,0.0858,167.0799,8.8433,0.4783,0.4323,11.9364,23.8495
Blast,40.5866,7.2765,8.1112,0.0177,107.5034,7.0661,0.4401,0.4111,7.7249,22.5927
Healthy,41.6355,6.2656,6.8331,0.0413,80.263,7.5862,0.3601,0.2619,5.8424,22.8797
Leaf-folder Injury,38.5512,7.9747,4.0528,0.0266,458.4095,7.6078,0.4588,0.4412,9.8597,22.8569
Insect Infestation,37.0432,8.6084,4.3638,0.036,467.8829,7.4347,0.5377,0.5096,11.1529,22.8596
Blast,43.223,8.2894,5.902,0.0226,212.2539,7.976,0.5305,0.4457,10.3225,24.783
Leaf-folder Injury,42.8273,7.5557,5.7964,0.0664,78.6685,7.1184,0.433,0.3659,8.4808,24.1891
Insect Infestation,47.1437,7.4266,5.3859,0.0322,148.2482,6.9318,0.5846,0.5492,10.6397,24.8111
Scald,36.9399,10.8533,5.8647,0.0136,200.6426,7.7495,0.4471,0.3999,12.0992,24.8126
Healthy,44.7458,5.057,5.6409,0.041,53.9845,7.4745,0.4474,0.3682,6.7867,23.3925
Stripes,40.7376,4.8818,4.7543,0.0387,244.241,7.0606,0.4937,0.4713,10.0246,23.998
Leaf-folder Injury,40.3711,6.331,6.9648,0.021,99.0472,7.3411,0.4292,0.3937,7.9272,22.5484
Blast,41.6548,5.7522,6.227,0.0405,76.6298,7.6216,0.3585,0.2565,5.8028,22.8343
Blast,43.0912,1.3287,8.5126,0.0079,106.0717,7.6444,0.4007,0.3214,6.6583,23.2348
Tungro,36.1951,7.7915,1.2346,0.0087,185.4712,7.3425,0.4657,0.4674,11.4218,22.5699
Scald,35.6358,10.4652,5.3162,0.1256,518.3124,7.413,0.6589,0.6609,12.4128,22.4512
Insect Infestation,41.1363,5.5318,7.675,0.0207,130.59,7.5644,0.4204,0.3718,7.2927,22.4097
Healthy,43.1027,1.8647,8.4072,0.0114,110.1509,7.6087,0.3993,0.3246,6.4757,23.21
Scald,37.3999,9.4192,1.6729,0.0122,224.2399,8.0534,0.4708,0.4578,10.0991,22.0336
Tungro,42.9617,6.5109,5.9605,0.0311,77.861,7.4323,0.5094,0.4805,9.1909,23.3913
Blast,42.701,7.0989,7.8206,0.0075,59.6729,7.4829,0.4088,0.3449,7.5454,23.448
Tungro,43.9221,6.399,6.5662,0.0986,61.5689,7.3415,0.465,0.3978,7.849,24.1032
Healthy,36.0548,10.5581,5.927,0.087,173.1283,8.8205,0.4727,0.4283,11.7647,23.9686
Healthy,44.3097,7.8413,5.7093,0.1289,32.4369,7.9723,0.513,0.381,9.1554,25.4688
Healthy,41.9486,6.4995,6.5469,0.0389,83.0756,7.6049,0.3544,0.274,5.9443,22.9131
Blast,42.703,6.6831,7.6023,0.0102,64.9823,7.4963,0.4082,0.3319,7.2871,23.559
Insect Infestation,41.092,5.6024,7.6063,0.0206,116.6855,7.5661,0.4188,0.3782,7.3962,22.4811
Scald,44.7631,5.2592,5.7091,0.0377,57.4263,7.461,0.4453,0.3606,6.8254,23.3144
Blast,39.4469,5.2825,5.6352,0.1269,310.8648,7.7822,0.5717,0.5141,11.2313,24.5397
Healthy,41.1186,5.6667,7.6679,0.017,122.4915,7.6207,0.4137,0.3739,7.1637,22.4314
Blast,36.7449,7.2883,1.2318,0,261.1502,7.8094,0.4413,0.409,9.4796,21.8601
Tungro,40.561,7.5964,7.8523,0.0208,103.4811,7.0708,0.4439,0.4139,7.7039,22.4974
Healthy,43.6726,7.0434,9.0753,0.0423,97.5671,6.9648,0.3882,0.3378,7.1224,24.7628
Tungro,33.4089,8.9897,1.4305,0.0165,724.1162,7.8588,0.5711,0.5892,12.0134,21.282
Blast,37.14,9.38,1.24,0.02,136.37,8.095,0.425,0.3875,10.215,22.6825
Blast,36.5524,8.8602,4.4807,0.0426,501.1865,7.3971,0.5127,0.5165,10.9187,23.0417
Healthy,36.6683,8.0063,4.7287,0.0144,390.6208,7.5207,0.5913,0.5895,11.5262,21.8288
Healthy,42.7967,7.1782,5.4477,0.0807,110.4476,7.9496,0.5537,0.4973,10.482,23.7354
Leaf-folder Injury,37.8793,9.1638,4.0753,0.086,253.3693,8.0501,0.4585,0.4373,9.8868,23.7388
Tungro,43.6483,7.0161,9.2136,0.0369,98.1084,6.9409,0.3896,0.3367,7.3317,24.8103
Scald,40.9044,7.3148,4.5235,0.0141,418.613,7.5391,0.6575,0.6422,11.1385,22.4915
Scald,44.6248,5.7543,5.3969,0.0408,55.3276,7.4704,0.4439,0.3676,6.6955,23.4262
Insect Infestation,43.6763,7.0633,7.9315,0.048,37.5567,7.4642,0.4405,0.3749,7.078,23.0383
Insect Infestation,40.6812,5.4769,7.6567,0.0196,145.6894,7.5573,0.4188,0.3716,7.2191,22.3676
Blast,41.1036,5.6661,7.4648,0.0219,122.6439,7.6162,0.4192,0.3664,7.4802,22.3978
Leaf-folder Injury,43.866,6.5268,6.7043,0.0989,61.0399,7.3832,0.4615,0.3984,7.8523,24.2419
Scald,38.6172,6.8162,5.3909,0.0083,234.9076,7.5607,0.454,0.4229,8.1146,22.4966
